machine_id,maintenance_duration,available_from,available_to,maintenance_priority
M0816,1,10:00,19:00,Low
M0817,1,09:00,19:00,Low
M0818,3,10:00,18:00,Medium
M0819,4,09:00,18:00,Medium
M0820,1,10:00,17:00,Medium
M0821,3,10:00,19:00,High
M0822,4,10:00,18:00,High
M0823,2,11:00,16:00,Medium
M0824,3,11:00,19:00,Medium
M0825,4,08:00,17:00,High
M0826,4,08:00,17:00,High
M0827,3,09:00,17:00,High
M0828,2,11:00,16:00,Low
M0829,3,09:00,18:00,Medium
M0830,4,08:00,16:00,Low
M0831,1,09:00,19:00,Low
M0832,1,08:00,17:00,Low
M0833,3,11:00,16:00,Medium
M0834,4,10:00,16:00,Medium
M0835,1,11:00,18:00,Low
M0836,4,09:00,18:00,Medium
M0837,3,09:00,17:00,Medium
M0838,1,11:00,16:00,Medium
M0839,4,11:00,16:00,Low
M0840,1,08:00,18:00,Medium
M0841,3,09:00,16:00,High
M0842,4,09:00,16:00,Low
M0843,1,11:00,16:00,Low
M0844,3,10:00,18:00,Medium
M0845,1,09:00,17:00,High
M0846,1,10:00,19:00,Medium
M0847,2,11:00,17:00,Medium
M0848,2,11:00,19:00,Medium
M0849,3,08:00,16:00,Medium
M0850,2,09:00,17:00,Low
M0851,3,10:00,19:00,Medium
M0852,2,08:00,18:00,High
M0853,1,09:00,18:00,Medium
M0854,3,08:00,17:00,High
M0855,3,11:00,17:00,High
M0856,1,09:00,16:00,Low
M0857,3,08:00,17:00,High
M0858,3,08:00,16:00,Low
M0859,2,10:00,16:00,Medium
M0860,3,08:00,18:00,Low
M0861,4,09:00,18:00,Low
M0862,1,09:00,19:00,Medium
M0863,2,10:00,18:00,Low
M0864,2,09:00,18:00,Medium
M0865,4,11:00,17:00,Medium
M0866,1,09:00,18:00,Low
M0867,1,09:00,19:00,Low
M0868,2,08:00,17:00,Medium
M0869,3,08:00,19:00,Medium
M0870,2,09:00,18:00,High
M0871,1,10:00,19:00,Medium
M0872,4,08:00,17:00,High
M0873,2,10:00,16:00,Medium
M0874,1,09:00,19:00,Medium
M0875,2,09:00,19:00,Medium
M0876,3,11:00,17:00,Low
M0877,2,08:00,17:00,Medium
M0878,2,09:00,19:00,High
M0879,1,11:00,18:00,Medium
M0880,1,08:00,19:00,High
M0881,1,09:00,17:00,High
M0882,2,09:00,16:00,High
M0883,3,08:00,16:00,High
M0884,4,08:00,18:00,Medium
M0885,4,08:00,19:00,Medium
M0886,1,09:00,16:00,Medium
M0887,1,09:00,19:00,Medium
M0888,2,11:00,17:00,Medium
M0889,4,10:00,16:00,High
M0890,1,08:00,18:00,Medium
M0891,3,09:00,17:00,Medium
M0892,3,09:00,18:00,Low
M0893,1,08:00,17:00,Medium
M0894,1,10:00,16:00,Low
M0895,4,08:00,18:00,High
M0896,4,10:00,18:00,Medium
M0897,2,09:00,17:00,Low
M0898,4,10:00,18:00,Low
M0899,3,11:00,17:00,Medium
M0900,3,09:00,17:00,Medium
M0901,1,11:00,17:00,Medium
M0902,4,08:00,17:00,Low
M0903,2,08:00,16:00,Medium
M0904,3,08:00,17:00,Medium
M0905,3,10:00,19:00,Medium
M0906,2,09:00,18:00,Medium
M0907,2,08:00,19:00,Medium
M0908,3,08:00,16:00,Low
M0909,3,09:00,19:00,High
M0910,2,08:00,18:00,Medium
M0911,3,11:00,19:00,Medium
M0912,1,09:00,16:00,Low
M0913,1,09:00,17:00,Medium
M0914,2,09:00,19:00,Low
M0915,4,11:00,16:00,Medium
M0916,2,09:00,16:00,High
M0917,2,11:00,18:00,Medium
M0918,4,09:00,18:00,Low
M0919,4,10:00,19:00,Low
M0920,4,08:00,17:00,Medium
M0921,1,10:00,16:00,Low
M0922,3,08:00,19:00,Low
M0923,1,11:00,16:00,High
M0924,3,10:00,16:00,Medium
M0925,1,09:00,17:00,Low
M0926,3,08:00,17:00,High
M0927,1,08:00,19:00,Low
M0928,4,10:00,17:00,High
M0929,2,11:00,17:00,Medium
M0930,1,10:00,19:00,High
M0931,3,11:00,17:00,Medium
M0932,4,11:00,18:00,High
M0933,1,08:00,16:00,High
M0934,1,10:00,16:00,Low
M0935,4,10:00,16:00,High
M0936,1,11:00,16:00,Medium
M0937,2,10:00,19:00,Medium
M0938,1,09:00,16:00,Medium
M0939,2,09:00,16:00,Medium
M0940,2,10:00,16:00,Low
M0941,4,10:00,16:00,Medium
M0942,1,11:00,18:00,Medium
M0943,4,09:00,16:00,High
M0944,1,09:00,18:00,High
M0945,1,08:00,19:00,Medium
M0946,3,11:00,17:00,Medium
M0947,1,08:00,16:00,Low
M0948,4,09:00,17:00,Low
M0949,2,11:00,17:00,Low
M0950,1,10:00,19:00,Medium
M0951,3,11:00,17:00,Low
M0952,4,10:00,18:00,High
M0953,1,10:00,17:00,Medium
M0954,4,11:00,17:00,Medium
M0955,3,10:00,17:00,Medium
M0956,3,08:00,16:00,Low
M0957,4,09:00,16:00,Medium
M0958,1,10:00,18:00,Medium
M0959,2,08:00,18:00,Medium
M0960,3,10:00,16:00,Medium
M0961,1,09:00,18:00,High
M0962,1,08:00,16:00,High
M0963,2,09:00,19:00,Medium
M0964,3,09:00,17:00,Medium
M0965,3,08:00,17:00,Medium
M0966,1,08:00,18:00,Low
M0967,1,08:00,16:00,Medium
M0968,2,11:00,16:00,Low
M0969,2,08:00,18:00,Medium
M0970,3,08:00,16:00,Medium
M0971,4,08:00,19:00,Low
M0972,3,08:00,17:00,High
M0973,1,10:00,18:00,High
M0974,3,11:00,18:00,High
M0975,4,09:00,16:00,Medium
M0976,2,08:00,18:00,High
M0977,4,10:00,19:00,Low
M0978,4,10:00,16:00,High
M0979,4,10:00,16:00,Low
M0980,2,09:00,16:00,High
M0981,4,08:00,16:00,Low
M0982,4,11:00,19:00,High
M0983,4,11:00,16:00,High
M0984,1,10:00,18:00,Low
M0985,4,09:00,19:00,Medium
M0986,2,09:00,17:00,High
M0987,4,09:00,17:00,Medium
M0988,4,11:00,18:00,High
M0989,2,10:00,18:00,Medium
M0990,4,08:00,19:00,Medium
M0991,2,11:00,17:00,Low
M0992,4,10:00,17:00,Low
M0993,2,10:00,17:00,High
M0994,4,08:00,17:00,Medium
M0995,4,08:00,17:00,Medium
M0996,1,08:00,16:00,Medium
M0997,1,09:00,18:00,Medium
M0998,4,08:00,16:00,High
M0999,4,10:00,17:00,High
M1000,3,08:00,19:00,Medium
